Designator,Mid X,Mid Y,Rotation,Layer
C1,38.15,-16.5,180.0,top
C10,35.0,-23.2,0.0,top
C11,2.575,-33.2,180.0,top
C12,17.1,-25.7,0.0,top
C13,2.575,-36.25,180.0,top
C14,24.0,-24.2,180.0,top
C15,24.0,-35.0,180.0,top
C16,17.1,-27.25,0.0,top
C17,24.0,-27.2,180.0,top
C18,35.0,-35.5,0.0,top
C2,34.55,-16.5,0.0,top
C3,3.0,-74.0,0.0,top
C4,9.6,-32.5,180.0,top
C5,13.3,-32.5,180.0,top
C6,27.4,-20.1,180.0,top
C7,31.5,-20.1,180.0,top
C9,35.0,-28.0,180.0,top
D1,38.0,-11.9,270.0,top
D2,2.1,-68.8,270.0,top
D3,20.4,-2.0,180.0,top
D5,38.0,-4.5,90.0,top
J1,19.13,-10.1,270.0,bottom
J10,33.14,-102.3,90.0,top
J11,2.54,-6.35,180.0,bottom
J2,5.14,-24.4,180.0,top
J3,7.5,-83.3,90.0,top
J4,7.5,-102.3,90.0,top
J5,30.64,-8.8,90.0,top
J6,20.32,-83.3,90.0,top
J7,20.32,-102.3,90.0,top
J8,10.0,-8.8,90.0,top
J9,33.14,-83.3,90.0,top
LED1,7.5,-74.5,0.0,top
LED2,7.5,-93.5,0.0,top
LED3,20.32,-74.5,0.0,top
LED4,20.32,-93.5,0.0,top
LED5,33.14,-74.5,0.0,top
LED6,33.14,-93.5,0.0,top
Q1,11.0,-19.6375,180.0,top
R1,35.0,-26.4,0.0,top
R10,17.1,-21.2,180.0,top
R11,5.4,-15.0,0.0,top
R12,17.1,-18.2,180.0,top
R13,2.4,-16.6,180.0,top
R14,17.1,-19.7,0.0,top
R15,35.0,-29.5,180.0,top
R16,2.575,-37.8,180.0,top
R17,24.0,-22.7,180.0,top
R18,35.0,-31.0,180.0,top
R19,5.8,-33.2,180.0,top
R2,35.0,-24.8,0.0,top
R20,24.0,-21.2,180.0,top
R21,5.8,-34.7,0.0,top
R22,24.0,-19.7,0.0,top
R23,35.0,-32.5,0.0,top
R24,5.8,-36.2,0.0,top
R25,27.0,-18.2,180.0,top
R26,5.8,-37.7,180.0,top
R27,24.0,-18.2,180.0,top
R28,35.0,-34.0,180.0,top
R29,17.1,-28.8,0.0,top
R3,2.575,-34.7,180.0,top
R30,24.0,-25.7,180.0,top
R31,17.1,-30.3,0.0,top
R32,24.0,-28.7,180.0,top
R33,17.1,-31.85,180.0,top
R34,24.0,-30.2,0.0,top
R35,2.4,-13.4,0.0,top
R36,17.1,-33.35,180.0,top
R37,24.0,-31.7,0.0,top
R38,17.1,-34.9,0.0,top
R39,24.0,-33.2,180.0,top
R4,17.1,-24.2,0.0,top
R40,2.4,-15.0,0.0,top
R5,24.0,-36.6,0.0,top
R6,27.0,-36.6,180.0,top
R7,13.8,-16.2,0.0,top
R8,17.1,-22.7,0.0,top
R9,5.4,-16.6,0.0,top
SW1,10.0,-58.75,0.0,top
SW2,30.64,-58.75,0.0,top
U2,29.39,-46.93,0.0,bottom
U3,11.6,-27.0,270.0,top
U4,29.5,-25.5,270.0,top
U5,29.5,-33.1,270.0,top
U6,10.64,-68.52,180.0,top
VR1,10.0,-50.75,0.0,top
VR2,30.64,-50.75,0.0,top
